fruit,aspect,color
0,0.890308249,11.74008173
0,1.173016428,34.12673816
0,0.998475235,42.19727042
0,1.106765458,23.4867384
0,1.036664534,19.86156065
0,1.014048913,22.75008847
0,0.953340953,33.97244041
0,1.095285274,32.10749056
0,0.817319661,48.34061384
0,1.050675338,26.33929806
0,1.037518445,25.96769595
0,1.052891283,34.17943407
0,0.921906938,41.70713687
0,1.172529892,40.17188352
0,0.92207999,41.80061767
0,1.058651306,21.42652237
0,0.943372506,25.60227385
0,0.926360809,26.87083629
0,0.97811395,23.66416783
0,0.950204989,30.21482662
0,1.094658611,34.2980831
0,0.968378344,26.11624128
0,1.10295387,31.15025173
0,1.060307466,22.89983874
0,1.050987824,32.35832526
0,0.956809281,27.11360015
0,1.016609536,34.39878269
0,1.163194398,27.248324
0,0.944494055,26.49224201
0,0.799868182,32.67676612
0,1.003877963,28.21471988
0,1.071017685,25.57511615
0,1.059125588,32.13878295
0,1.053994431,28.36627435
0,0.941327388,30.82543685
0,0.962468993,23.43663723
0,0.978120618,26.78127265
0,1.048340905,30.91931077
0,0.932488976,35.8697497
0,1.142964019,23.10641473
0,1.177012061,29.75348922
0,1.002415825,27.85111975
0,1.060152153,33.18640683
0,0.848145318,28.87410862
0,0.970404951,29.6460314
0,0.834894925,20.53116608
0,1.029944541,22.00388107
0,1.171411591,30.71037908
0,0.818429214,29.991416
0,0.881029692,22.99358586
0,1.061250757,34.31267221
0,1.03334978,27.56406002
0,1.086103168,34.81440354
0,1.001508228,33.4058108
0,1.095679844,37.15215493
0,1.091593404,23.92366892
0,0.980225341,28.89976527
0,1.025577642,27.16648128
0,1.169433268,22.88386862
0,0.908045301,41.14367976
0,1.148585333,36.54854
0,1.16790836,32.15011702
0,1.040080419,25.20778189
0,1.115583842,37.70935068
0,1.055172087,8.882812215
0,0.991560189,27.22047298
0,0.90003121,31.50365176
0,1.100731292,29.598184
0,1.015875157,34.86268387
0,0.860891913,38.7673699
0,1.032253414,25.4568239
0,0.911961202,28.52348633
0,1.073724693,34.37469507
0,0.88194724,28.2119387
0,1.232862808,25.96048818
0,1.014547333,27.7149655
0,0.88658308,19.58209037
0,1.038580689,22.70352953
0,0.840208593,37.5267074
0,0.984766281,32.63486337
0,0.964230121,24.04179116
0,1.017913419,21.55985617
0,1.098833367,30.48880218
0,1.05690903,7.476127036
0,0.983458846,27.65480427
0,0.931551345,28.18707361
0,0.960005659,24.85920016
0,1.161970166,22.80132882
0,1.040063864,28.17351189
0,1.121351459,21.24231814
0,0.927809372,25.47330736
0,0.910650285,27.27469997
0,1.024341336,26.81167379
0,0.829230566,37.41142129
0,0.873510622,29.13410848
0,0.951610485,27.01301119
0,0.915589255,28.01665124
0,1.111758426,22.73180882
0,0.948707571,34.24963226
0,0.916046686,28.63203478
0,1.036368039,29.59195099
1,3.097407614,33.64674911
1,4.071235699,35.36157727
1,3.531413718,38.16324534
1,4.394072754,39.68231485
1,3.961831661,40.43001821
1,4.359350363,37.23812021
1,4.125614753,43.79429462
1,3.727635044,40.26245314
1,3.68884429,36.56800145
1,4.362855142,51.2425104
1,4.076484534,38.14450623
1,4.354603362,43.68998526
1,3.956369488,36.14032779
1,5.041194002,43.5089113
1,4.773617241,32.91191765
1,3.898956549,40.62970496
1,4.062894665,40.63007399
1,3.461762792,36.9981205
1,3.853490185,38.6684702
1,3.684793275,38.77991205
1,4.503847221,46.62154654
1,4.094143086,38.55713033
1,4.934508574,38.0132217
1,4.226816765,31.56061866
1,3.521216027,40.15786811
1,4.348687416,40.22637046
1,4.034957188,36.91946867
1,4.576380919,37.74295922
1,3.927950363,40.0933207
1,3.254163826,40.44079591
1,4.914148985,36.81026932
1,4.419721949,39.11640592
1,3.27358856,46.41178239
1,4.975619764,39.83359496
1,3.167573734,41.9883707
1,3.585181677,35.49479629
1,3.778378675,42.10781477
1,3.348347125,42.76282742
1,3.917971061,44.44711922
1,3.379521508,35.6184691
1,3.210946972,39.52322864
1,4.526117084,44.80309055
1,5.446487061,37.83368183
1,4.6217235,43.05482024
1,3.880071466,35.46384309
1,4.209108854,38.94695611
1,4.220613002,42.25409582
1,4.185756532,33.96924441
1,3.915111973,43.29080011
1,4.578045057,40.57818182
1,3.819088489,43.02817569
1,4.077443016,39.06519235
1,4.362417747,35.98064771
1,4.785350696,48.82522599
1,4.242263993,39.28533259
1,4.031882521,41.44569961
1,4.239232872,34.95344489
1,3.954402885,38.36861829
1,4.105393167,32.62190164
1,3.49697519,37.37385604
1,3.713785609,46.82129064
1,3.467520374,40.98055442
1,2.494494527,39.8586606
1,4.779033141,45.20008982
1,4.146952396,38.68367643
1,4.417886692,41.32320518
1,3.674805688,46.09101613
1,3.657924591,40.64636846
1,4.773522166,33.49897271
1,4.684910667,35.27820048
1,4.414304221,44.23839733
1,3.80189812,48.56941658
1,3.983279889,42.15461745
1,3.93001732,48.7043971
1,3.835305913,40.43945377
1,4.303210111,37.1730848
1,3.855393423,45.43255959
1,4.424848781,44.38917981
1,4.728138565,38.53120927
1,3.773944508,40.55193019
1,4.169751264,44.21785653
1,3.693009343,38.44051326
1,4.265033655,36.75011558
1,3.95638424,42.31903912
1,3.672790423,33.05491289
1,3.681567342,50.16700215
1,3.746973145,35.8613346
1,4.163433221,42.48965204
1,3.290788334,40.03727237
1,3.520663215,38.12802925
1,4.453499363,34.3891146
1,3.815402852,40.38756434
1,4.264400247,34.73020669
1,4.29085951,37.79060157
1,3.469424464,44.60608353
1,4.592246324,46.35933786
1,4.170080728,43.9610468
1,3.320494246,32.46754847
1,3.552620829,40.060443
1,3.763697444,35.20988792
1,4.226303618,40.16885679
1,3.544913033,42.60715284
1,4.071183506,45.92703393
1,3.980631503,37.18441647
2,1.243501732,23.28940368
2,1.082187035,31.09533571
2,1.264139293,29.804619
2,1.023488275,18.09368768
2,1.126356249,28.52198527
2,1.140363704,28.11827124
2,1.26981428,24.15408735
2,1.275744369,15.01324326
2,1.28751473,27.44740153
2,1.296728724,36.83925174
2,1.225302038,24.20316574
2,1.181762212,18.79170164
2,1.169621297,36.22709299
2,1.305094271,20.81226032
2,1.106982613,27.60938094
2,1.180785041,28.84211412
2,1.212422114,31.54033898
2,1.289778002,27.39954752
2,1.110362165,27.27757015
2,1.185677359,19.1937443
2,1.280487849,24.78083255
2,1.077726322,16.10246794
2,1.038687161,25.823457
2,1.045684778,27.86879701
2,1.112435161,15.09178961
2,1.192537989,33.94276545
2,1.318127106,17.79787244
2,1.166111617,29.66524573
2,1.140196233,29.61984018
2,1.370388872,23.01319672
2,1.062870041,28.30455637
2,1.14742855,27.31315501
2,1.252965422,32.27726727
2,1.173305892,27.60705719
2,1.246779393,30.03197539
2,1.255484938,27.63077675
2,1.344540663,22.41846849
2,1.171175916,25.61933706
2,1.172694721,26.67629134
2,1.177358408,23.43757106
2,1.084759302,24.27494836
2,1.135639453,29.86581725
2,1.03058075,22.73848018
2,1.251014985,33.03083567
2,1.379291318,32.28182207
2,1.227781434,38.0677
2,1.331506752,33.26062403
2,1.077876488,23.64664668
2,0.978304853,22.66281548
2,1.144999628,24.27258718
2,1.355374699,28.00898848
2,1.190843816,22.63083032
2,1.320933823,27.52300321
2,0.945188235,27.76609717
2,1.100729921,24.0437762
2,1.153017984,26.48601947
2,1.177510736,30.24459354
2,1.301913846,32.46534036
2,1.20373027,33.32259302
2,1.202225653,25.44352934
2,1.175336614,19.49243722
2,1.186012006,30.78309551
2,0.901153001,25.951617
2,1.170324932,27.6303941
2,1.308057535,19.59713171
2,1.222503812,19.11806232
2,1.370098911,29.65830957
2,1.294289957,25.82856212
2,1.236468599,18.75954096
2,1.186550227,33.35835815
2,1.252057465,35.98906569
2,1.142678228,28.15672369
2,1.36254928,35.52021064
2,1.272428553,20.64688922
2,1.432399058,25.2374682
2,1.14553664,27.83641284
2,1.101501262,28.06334277
2,1.250061073,23.91898207
